uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"d25a8803-7def-425f-aa48-532a55220222","SCBI_021.basePlot.div","D02","SCBI",38.900851,-78.152879,"WGS84",20.11,317.7,0.1,"distributed","deciduousForest","SCBI_021","40.1.1","2015-06-01",1,"SCBI.1.2015",,"otherVariables",,"Y",,,,,,,,,,,"soil",66.00,,,,"mbelovitch@field-ops.org","llemmon@field-ops.org",,,
"f08e290a-5bcd-44f8-b6c7-ae1deed142f1","SCBI_021.basePlot.div","D02","SCBI",38.900851,-78.152879,"WGS84",20.11,317.7,0.1,"distributed","deciduousForest","SCBI_021","41.1.1","2015-06-01",1,"SCBI.1.2015",,"otherVariables",,"Y",,,,,,,,,,,"otherNonVascular",0.50,,,,"mbelovitch@field-ops.org","llemmon@field-ops.org",,,
"54500735-b203-4758-a039-920771d1e9c3","SCBI_021.basePlot.div","D02","SCBI",38.900851,-78.152879,"WGS84",20.11,317.7,0.1,"distributed","deciduousForest","SCBI_021","41.1.1","2015-06-01",1,"SCBI.1.2015",,"plantSpecies","Y",,"LOJA","Lonicera japonica Thunb.","species","Caprifoliaceae","I",,,,,,,25.00,"N",55,,"mbelovitch@field-ops.org","llemmon@field-ops.org",,,
"ce8412d5-10d0-4ec0-8019-e27140f24272","SCBI_021.basePlot.div","D02","SCBI",38.900851,-78.152879,"WGS84",20.11,317.7,0.1,"distributed","deciduousForest","SCBI_021","41.1.1","2015-06-01",1,"SCBI.1.2015",,"plantSpecies","Y",,"DUIN","Duchesnea indica (Andrews) Focke","species","Rosaceae","I",,,,,,,2.00,"N",16,,"mbelovitch@field-ops.org","llemmon@field-ops.org",,,
"33038d18-feba-477e-83d0-fc66d5b8d527","SCBI_021.basePlot.div","D02","SCBI",38.900851,-78.152879,"WGS84",20.11,317.7,0.1,"distributed","deciduousForest","SCBI_021","41.1.1","2015-06-01",1,"SCBI.1.2015",,"plantSpecies","Y",,"ALPE4","Alliaria petiolata (M. Bieb.) Cavara & Grande","species","Brassicaceae","I",,,,,,,3.00,"N",48,,"mbelovitch@field-ops.org","llemmon@field-ops.org",,,
"74b77f95-0cbc-4928-8005-a6a1542ba4fc","SCBI_021.basePlot.div","D02","SCBI",38.900851,-78.152879,"WGS84",20.11,317.7,0.1,"distributed","deciduousForest","SCBI_021","40.1.1","2015-06-01",1,"SCBI.1.2015",,"otherVariables",,"Y",,,,,,,,,,,"wood",6.00,,,,"mbelovitch@field-ops.org","llemmon@field-ops.org",,,
"41600ca3-00fb-4a48-87f0-78167e8d7575","SCBI_021.basePlot.div","D02","SCBI",38.900851,-78.152879,"WGS84",20.11,317.7,0.1,"distributed","deciduousForest","SCBI_021","40.1.1","2015-06-01",1,"SCBI.1.2015",,"plantSpecies","Y",,"PRSES","Prunus serotina Ehrh. var. serotina","variety","Rosaceae","N",,,,,,,0.50,"N",9,,"mbelovitch@field-ops.org","llemmon@field-ops.org",,,
"31cb707f-510d-4c9c-9465-daee97cb5d31","SCBI_021.basePlot.div","D02","SCBI",38.900851,-78.152879,"WGS84",20.11,317.7,0.1,"distributed","deciduousForest","SCBI_021","40.1.1","2015-06-01",1,"SCBI.1.2015",,"plantSpecies","Y",,"VIPR","Viburnum prunifolium L.","species","Caprifoliaceae","N",,,,,,,0.50,"N",6,,"mbelovitch@field-ops.org","llemmon@field-ops.org",,,
"c0dc2419-54b2-49d4-9e4b-e57fd14db22c","SCBI_021.basePlot.div","D02","SCBI",38.900851,-78.152879,"WGS84",20.11,317.7,0.1,"distributed","deciduousForest","SCBI_021","40.3.1","2015-06-01",1,"SCBI.1.2015",,"plantSpecies","Y",,"SYOR","Symphoricarpos orbiculatus Moench","species","Caprifoliaceae","N",,,,,,,16.00,"N",37,,"mbelovitch@field-ops.org","llemmon@field-ops.org",,,
"11e54462-c7d2-4055-a84c-9fb1f006d4b6","SCBI_021.basePlot.div","D02","SCBI",38.900851,-78.152879,"WGS84",20.11,317.7,0.1,"distributed","deciduousForest","SCBI_021","41.1.1","2015-06-01",1,"SCBI.1.2015",,"plantSpecies","Y",,"VITIS","Vitis sp.","genus","Vitaceae","UNK",,,,,,,2.00,"Y",,"999","mbelovitch@field-ops.org","llemmon@field-ops.org",,,
