uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"ea6cb2bc-98fa-4fd6-9f55-ab5fcdec0620","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","31.1.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"litter",95.00,,,,"0000-0002-9814-2044","0000-0001-6508-1786","OK",,"OK - no known exceptions"
"c3a38cb4-110d-463b-912c-6e2b919287e7","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","40.3.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"wood",19.00,,,,"0000-0002-9814-2044","0000-0003-0743-8788","OK",,"OK - no known exceptions"
"9cdfdf9f-670c-4dbd-a1e0-2f35ecabd35b","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","32.4.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","PITYO2","Pityopsis sp.","genus","Asteraceae","N",,,,,,,0.50,"N",,,"0000-0003-0836-969X","0000-0001-6508-1786","OK",,"OK - no known exceptions"
"d56298c3-d428-472c-980d-540dacaad526","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","32.4.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"soil",51.00,,,,"0000-0003-0836-969X","0000-0001-6508-1786","OK",,"OK - no known exceptions"
"9c9edfdc-a4ab-46bd-86cf-2131233c33fd","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","40.1.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"lichen",0.50,,,,"0000-0002-9814-2044","0000-0003-0743-8788","OK",,"OK - no known exceptions"
"5dc675bb-9822-461e-af93-fecb1517f899","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","41.4.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"litter",95.00,,,,"0000-0002-9814-2044","0000-0003-0743-8788","OK",,"OK - no known exceptions"
"6e02e260-1fbd-44fd-863c-4c8b273929c9","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","40.1.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","ARBE7","Aristida beyrichiana Trin. & Rupr.","species","Poaceae","N",,,,,,,1.00,"N",,,"0000-0002-9814-2044","0000-0003-0743-8788","OK",,"OK - no known exceptions"
"559cb697-108b-404e-a8f6-d2aa90194715","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","31.1.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"standingDeadWoody",0.50,,,,"0000-0002-9814-2044","0000-0001-6508-1786","OK",,"OK - no known exceptions"
"31d39eae-491f-4e6d-88e9-e2ed06eedd40","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","32.4.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"wood",0.50,,,,"0000-0003-0836-969X","0000-0001-6508-1786","OK",,"OK - no known exceptions"
"d5b42e67-b33f-4e95-8ee4-7a8d937e258f","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","31.1.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","STAB","Stylisma abdita Myint","species","Convolvulaceae","N",,,,,,,0.50,"N",,,"0000-0002-9814-2044","0000-0001-6508-1786","OK",,"OK - no known exceptions"
"4ad5696c-ac56-45d5-8011-02def636afc3","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","32.2.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"fungi",0.50,,,,"0000-0003-0836-969X","0000-0001-6508-1786","OK",,"OK - no known exceptions"
"301cc5a4-4623-426b-8c00-3c33e66c851c","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","40.1.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","POACEA","Poaceae sp.","family","Poaceae","UNK",,,,,,,0.50,"N",,,"0000-0002-9814-2044","0000-0003-0743-8788","OK",,"OK - no known exceptions"
"2eac2a82-71ba-44a5-9032-78eb553a3849","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","32.4.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","ARBE7","Aristida beyrichiana Trin. & Rupr.","species","Poaceae","N",,,,,,,3.00,"N",,,"0000-0003-0836-969X","0000-0001-6508-1786","OK",,"OK - no known exceptions"
"9a3006b0-67ba-433b-8188-862951139073","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","32.4.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","BULBO","Bulbostylis sp.","genus","Cyperaceae","UNK",,,,,,,0.50,"N",,,"0000-0003-0836-969X","0000-0001-6508-1786","OK",,"OK - no known exceptions"
"a0adc5e7-2cd9-4d45-81a4-2ccf739ae018","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","41.4.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","ANDRO2","Andropogon sp.","genus","Poaceae","N",,,,,,,0.50,"N",,,"0000-0002-9814-2044","0000-0003-0743-8788","OK",,"OK - no known exceptions"
"666d4926-1f86-40e2-bbb0-a04db9ad03e4","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","41.4.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","QULA2","Quercus laevis Walter","species","Fagaceae","N",,,,,,,2.00,"N",,,"0000-0002-9814-2044","0000-0003-0743-8788","OK",,"OK - no known exceptions"
"9a06f4ea-2d08-4c4a-802a-6fbf871cf5c5","OSBS_029.basePlot.div","D03","OSBS",29.692504,-81.989891,"WGS84",20.11,44.2,0.1,"tower","evergreenForest","OSBS_029","32.4.1","2022-09-06",1,"OSBS.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"biocrustLichen",0.50,,,,"0000-0003-0836-969X","0000-0001-6508-1786","OK",,"OK - no known exceptions"
