uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"6d6d12b5-edc2-45f8-8940-993edc4e233f","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","31.1.1","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","LOBE","Lonicera ×bella Zabel","species","Caprifoliaceae","I",,,,,,,5.00,"N",,,"0000-0002-6190-2839","0000-0003-0290-2967","OK",,"OK - no known exceptions"
"a0abc9e2-afb9-467a-ae1e-74a80f3154d3","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32.4.1","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","GEAL3","Geum aleppicum Jacq.","species","Rosaceae","N",,,,,,,1.00,"N",,,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"2da72b88-4ad6-49e8-8fc3-aa47f0dd4f0b","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32.2.1","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"wood",2.00,,,,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"ca21dcc8-73fa-4ae7-a74b-df90aed30d2b","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","31.1.1","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"wood",6.00,,,,"0000-0002-6190-2839","0000-0003-0290-2967","OK",,"OK - no known exceptions"
"f4e72ede-fc13-42ae-b200-4d9aa426b3b9","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32.4.1","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","TRCE","Trillium cernuum L.","species","Liliaceae","N",,,,,,,2.00,"N",,,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"3ce00d9b-36d5-4922-af25-2ed88b79a191","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32.4.1","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","PYEL","Pyrola elliptica Nutt.","species","Pyrolaceae","N",,,,,,,3.00,"N",,,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"e2f01e42-a42b-4071-96da-f07905fcb0c0","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32.4.1","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","RARE2","Ranunculus recurvatus Poir.","species","Ranunculaceae","N",,,,,,,0.50,"N",,,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"b842bbea-61aa-4d90-b1a9-e916aad2a296","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32.2.1","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","FRNI","Fraxinus nigra Marshall","species","Oleaceae","N",,,,,,,4.00,"N",,,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"09053405-482e-4b43-9bb2-aa5b04fc678f","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32.4.1","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","RITR","Ribes triste Pall.","species","Grossulariaceae","N",,,,,,,8.00,"N",,,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"4b2aa7d4-e955-4b7f-9288-2846d8cd6739","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","31.1.1","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"standingDeadWoody",0.50,,,,"0000-0002-6190-2839","0000-0003-0290-2967","OK",,"OK - no known exceptions"
"0f2f30ff-5bb4-49dd-af1c-802b630b872f","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32.4.1","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","TRBO2","Trientalis borealis Raf.","species","Primulaceae","N",,,,,,,4.00,"N",,,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"0655834c-160e-4fb3-a8cf-71c87668296b","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32.2.1","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","MACA4","Maianthemum canadense Desf.","species","Liliaceae","N",,,,,,,0.50,"N",,,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"79f96c1d-1217-41da-bf9d-d2439b6fbe65","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32.2.1","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"standingDeadWoody",0.50,,,,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
