uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"4cb7d80e-ab04-4b63-aabb-d170f6a2f880","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","31.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","AMPS","Ambrosia psilostachya DC.","species","Asteraceae","N",,,,,,,4.00,"N",,,"0000-0002-1289-3729","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"044466db-cda1-4dc5-bdf1-a73173baa54a","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ASVE","Asclepias verticillata L.","species","Asclepiadaceae","N",,,,,,,0.50,"N",,,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"7f841f8c-73f5-442a-9b66-2b9ad174ea36","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","BOHI2","Bouteloua hirsuta Lag.","species","Poaceae","N",,,,,,,0.50,"N",,,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"0397906b-8c4d-4fdd-87cd-71311467b8c2","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","31.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","SCSC","Schizachyrium scoparium (Michx.) Nash","species","Poaceae","N",,,,,,,1.50,"N",,,"0000-0002-1289-3729","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"bdc318b4-6007-4782-9250-3e6e8bfa904f","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","31.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","SOMI2","Solidago missouriensis Nutt.","species","Asteraceae","N",,,,,,,0.50,"N",,,"0000-0002-1289-3729","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"8c5f1436-4d9d-4c7b-8658-d0c9d65d632e","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.3.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"soil",100.00,,,,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"691599f6-fe43-472e-9154-54d0910ac0b0","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","DACA7","Dalea candida Michx. ex Willd.","species","Fabaceae","N",,,,,,,0.50,"N",,,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"dcb79811-fd9a-49f4-8777-1c8b66c092fd","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32.2.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"litter",6.00,,,,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"21e9b5d4-18f5-4a59-b6f6-8fcfbd48eb8d","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32.2.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","DAPU5","Dalea purpurea Vent.","species","Fabaceae","N",,,,,,,0.50,"N",,,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"0ba09840-9f8b-4c4c-b083-abfe4de7914d","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","41.4.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","AMPS","Ambrosia psilostachya DC.","species","Asteraceae","N",,,,,,,6.50,"N",,,"0000-0001-6709-8856","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"df6fb515-9071-418f-ae0b-f7c38070a2ce","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","31.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","CYPER","Cyperus sp.","genus","Cyperaceae","UNK",,,,,,,1.50,"N",,,"0000-0002-1289-3729","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"ce591a0f-60be-46ed-964d-f4f667455d94","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.3.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","SCSC","Schizachyrium scoparium (Michx.) Nash","species","Poaceae","N",,,,,,,12.00,"N",,,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"4958f137-fc51-434d-99b9-a56cac6e6df2","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","41.4.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","VIPE2","Viola pedatifida G. Don","species","Violaceae","N",,,,,,,0.50,"N",,,"0000-0001-6709-8856","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"2bf12b29-0c43-48a6-a843-73009271b1ab","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","31.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","DIOL","Dichanthelium oligosanthes (Schult.) Gould","species","Poaceae","N",,,,,,,0.50,"N",,,"0000-0002-1289-3729","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"d69d2d3d-e0ee-4f03-b7d6-50615e9f649a","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32.2.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","AMCA6","Amorpha canescens Pursh","species","Fabaceae","N",,,,,,,10.00,"N",,,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"31bd5534-863c-463d-9310-41e94eb05c26","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.3.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","SYOB","Symphyotrichum oblongifolium (Nutt.) G.L. Nesom","species","Asteraceae","N",,,,,,,4.00,"N",,,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"c6c2eb3b-4481-4eb2-bf9d-87d1d8b80fcf","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32.4.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","CAREX","Carex sp.","genus","Cyperaceae","UNK",,,,,,,0.50,"N",,,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"07c6784d-07bc-4ac9-abcb-e456dce1b260","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","41.4.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","SCSC","Schizachyrium scoparium (Michx.) Nash","species","Poaceae","N",,,,,,,1.50,"N",,,"0000-0001-6709-8856","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"cecb1bdd-9fe1-4793-8970-bcac643f608d","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","BOCU","Bouteloua curtipendula (Michx.) Torr.","species","Poaceae","N",,,,,,,0.50,"N",,,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"6435cf40-1a31-414c-9793-d8ca33032230","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ASST","Asclepias stenophylla A. Gray","species","Asclepiadaceae","N","cf. species",,,,,,0.50,"N",,"Seedling","0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"ab0b29d3-7420-4013-ac83-155a57a42607","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32.2.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","DIOL","Dichanthelium oligosanthes (Schult.) Gould","species","Poaceae","N",,,,,,,0.50,"N",,,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"c6b04bb7-dd2e-41a3-af26-61b3b6b4393b","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","31.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","SYSE2","Symphyotrichum sericeum (Vent.) G.L. Nesom","species","Asteraceae","N",,,,,,,0.50,"N",,,"0000-0002-1289-3729","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"45f8be19-94a6-4a6c-b12b-14d395f3ec86","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ANGE","Andropogon gerardii Vitman","species","Poaceae","N",,,,,,,18.00,"N",,,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"f503e192-4927-4285-8d50-7c667af913be","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.3.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","CYPER","Cyperus sp.","genus","Cyperaceae","UNK",,,,,,,1.00,"N",,,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"8c3d89cb-a97d-48b3-a183-c3386fe4858c","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","31.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ANGE","Andropogon gerardii Vitman","species","Poaceae","N",,,,,,,15.00,"N",,,"0000-0002-1289-3729","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"bff4adc5-7391-4fcd-9256-4b0de23ea183","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.3.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","BOCU","Bouteloua curtipendula (Michx.) Torr.","species","Poaceae","N",,,,,,,0.50,"N",,,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"fa683893-eb26-4065-bb7b-0144b9b97719","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","PAVI2","Panicum virgatum L.","species","Poaceae","N",,,,,,,4.00,"N",,,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"2207ebf6-afff-46c9-8f4c-f5cc75b0217f","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32.2.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","BOCU","Bouteloua curtipendula (Michx.) Torr.","species","Poaceae","N",,,,,,,0.50,"N",,,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"959c59b1-130a-46b0-a61d-a0c4ad482166","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32.4.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","SAAZ","Salvia azurea Michx. ex Lam.","species","Lamiaceae","N",,,,,,,3.00,"N",,,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"51dac7a8-3c0f-4d94-8127-62b7b041ba1b","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32.4.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ERSP","Eragrostis spectabilis (Pursh) Steud.","species","Poaceae","N",,,,,,,0.50,"N",,,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"024ed0f6-9521-429e-9359-02a9961f7d1d","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","SYER","Symphyotrichum ericoides (L.) G.L. Nesom","species","Asteraceae","N",,,,,,,0.50,"N",,,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"bb47bcc4-084f-4ff7-8f54-89717918db8d","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.3.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","SAAZ","Salvia azurea Michx. ex Lam.","species","Lamiaceae","N",,,,,,,1.00,"N",,,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"5e8da304-6563-4d7b-8d10-b0a3ddc26335","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.3.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"litter",0.50,,,,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"243bdd06-8176-4d29-a03e-eb6cea14942d","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32.4.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","CYPER","Cyperus sp.","genus","Cyperaceae","UNK",,,,,,,0.50,"N",,,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"fdf5c639-85b8-4e6f-9639-54688f37a0b7","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","31.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"rock",1.50,,,,"0000-0002-1289-3729","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"7b09564b-bf6b-4bee-b490-0afc56754ad5","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32.2.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"rock",3.50,,,,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"a88fdfc6-9a4a-4ddf-adaf-215e790b5976","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.3.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","LEVI6","Lespedeza violacea (L.) Pers.","species","Fabaceae","N",,,,,,,0.50,"N",,,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"07a1a6ef-25f5-49db-9016-e191d1e21d4c","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","41.4.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"soil",95.00,,,,"0000-0001-6709-8856","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"83c3073a-0ee2-4d66-acfe-bef7fc802e5f","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","41.4.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ROAR3","Rosa arkansana Porter","species","Rosaceae","N",,,,,,,2.50,"N",,,"0000-0001-6709-8856","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"49ff1554-191e-4d21-aacf-46d279a6ab95","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","31.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"litter",0.50,,,,"0000-0002-1289-3729","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"ae32fc19-4416-4364-bffe-07a0f1fdc1a0","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","41.4.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","PHVI5","Physalis virginiana Mill.","species","Solanaceae","N",,,,,,,0.50,"N",,,"0000-0001-6709-8856","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"ecdba4f7-2490-4d13-a24a-500881604c04","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32.2.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ERSP","Eragrostis spectabilis (Pursh) Steud.","species","Poaceae","N",,,,,,,1.00,"N",,,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"91db3bb6-9027-408c-a9f5-2e4b1fa1f144","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","31.1.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","SYER","Symphyotrichum ericoides (L.) G.L. Nesom","species","Asteraceae","N",,,,,,,1.00,"N",,,"0000-0002-1289-3729","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"6a6799ee-2200-4c4c-9b11-b470c3870d1e","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","41.4.1","2021-08-04",1,"KONZ.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"rock",0.50,,,,"0000-0001-6709-8856","0000-0002-9241-5582","OK",,"OK - no known exceptions"
