uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"6eb42902-1d0f-4c73-9cb7-89a2374ce6c6","KONZ_004.basePlot.div","D06","KONZ",39.110568,-96.550145,"WGS84",20.21,374.5,0.3,"distributed","grasslandHerbaceous","KONZ_004","32.4.1","2022-09-01",1,"KONZ.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","POPR","Poa pratensis L.","species","Poaceae","NI",,,,,,,0.50,"N",,,"0000-0002-7766-4855","0000-0002-2135-1091","OK",,"OK - no known exceptions"
"010e534e-4ac0-40d3-b4d5-09bfcd8c3ab0","KONZ_004.basePlot.div","D06","KONZ",39.110568,-96.550145,"WGS84",20.21,374.5,0.3,"distributed","grasslandHerbaceous","KONZ_004","31.1.1","2022-09-01",1,"KONZ.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","SYLA3","Symphyotrichum laeve (L.) Á. Löve & D. Löve","species","Asteraceae","N",,,,,,,0.50,"N",,,"0000-0002-4565-0256","0000-0002-2135-1091","OK",,"OK - no known exceptions"
"3fa9b523-3f2a-4321-9ae7-d1711526a66c","KONZ_005.basePlot.div","D06","KONZ",39.082563,-96.566704,"WGS84",20.14,424.0,0.2,"distributed","grasslandHerbaceous","KONZ_005","32.2.1","2022-09-01",1,"KONZ.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","COUM","Comandra umbellata (L.) Nutt.","species","Santalaceae","N","cf. species",,,,,,2.50,"N",,,"0000-0002-7766-4855","0000-0002-4565-0256","OK",,"OK - no known exceptions"
"0f5eecf2-acf8-486b-af4b-bf5dc6b57872","KONZ_024.basePlot.div","D06","KONZ",39.110903,-96.552209,"WGS84",20.23,351.0,0.2,"distributed","deciduousForest","KONZ_024","41.4.1","2022-09-01",1,"KONZ.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"standingDeadWoody",2.00,,,,"0000-0001-6709-8856","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"fbf47a26-4f1e-4850-a297-6bc9d6f31bdc","KONZ_004.basePlot.div","D06","KONZ",39.110568,-96.550145,"WGS84",20.21,374.5,0.3,"distributed","grasslandHerbaceous","KONZ_004","40.1.1","2022-09-01",1,"KONZ.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","ANGE","Andropogon gerardii Vitman","species","Poaceae","N",,,,,,,13.00,"N",,,"0000-0002-4565-0256","0000-0002-2135-1091","OK",,"OK - no known exceptions"
"19bd701e-3c53-4493-bd83-707032b436c1","KONZ_005.basePlot.div","D06","KONZ",39.082563,-96.566704,"WGS84",20.14,424.0,0.2,"distributed","grasslandHerbaceous","KONZ_005","40.1.1","2022-09-01",1,"KONZ.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"standingDeadHerbaceous",2.00,,,,"0000-0002-2135-1091","0000-0002-4565-0256","OK",,"OK - no known exceptions"
"ffd0a654-8cd1-4eee-9d62-da3e90c71048","KONZ_024.basePlot.div","D06","KONZ",39.110903,-96.552209,"WGS84",20.23,351.0,0.2,"distributed","deciduousForest","KONZ_024","32.2.1","2022-09-01",1,"KONZ.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","PAVI2","Panicum virgatum L.","species","Poaceae","N",,,,,,,1.00,"N",,,"0000-0001-9167-5158","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"74b1355d-73f2-4bc0-91e8-efa72047926c","KONZ_004.basePlot.div","D06","KONZ",39.110568,-96.550145,"WGS84",20.21,374.5,0.3,"distributed","grasslandHerbaceous","KONZ_004","40.1.1","2022-09-01",1,"KONZ.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","BOCU","Bouteloua curtipendula (Michx.) Torr.","species","Poaceae","N",,,,,,,1.50,"N",,,"0000-0002-4565-0256","0000-0002-2135-1091","OK",,"OK - no known exceptions"
"23e135bb-6fb3-4fa9-b99b-59afb6fed6df","KONZ_005.basePlot.div","D06","KONZ",39.082563,-96.566704,"WGS84",20.14,424.0,0.2,"distributed","grasslandHerbaceous","KONZ_005","40.1.1","2022-09-01",1,"KONZ.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","ANGE","Andropogon gerardii Vitman","species","Poaceae","N",,,,,,,7.50,"N",,,"0000-0002-2135-1091","0000-0002-4565-0256","OK",,"OK - no known exceptions"
"10e8dc88-7c43-450b-ae97-bc321a655d61","KONZ_004.basePlot.div","D06","KONZ",39.110568,-96.550145,"WGS84",20.21,374.5,0.3,"distributed","grasslandHerbaceous","KONZ_004","40.3.1","2022-09-01",1,"KONZ.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"rock",40.00,,,,"0000-0002-4565-0256","0000-0002-2135-1091","OK",,"OK - no known exceptions"
"f80f822c-a869-4e54-a342-a31eb80b5006","KONZ_005.basePlot.div","D06","KONZ",39.082563,-96.566704,"WGS84",20.14,424.0,0.2,"distributed","grasslandHerbaceous","KONZ_005","41.4.1","2022-09-01",1,"KONZ.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","ANGE","Andropogon gerardii Vitman","species","Poaceae","N",,,,,,,7.00,"N",,,"0000-0002-2135-1091","0000-0002-4565-0256","OK",,"OK - no known exceptions"
