uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"612d7171-9466-4751-9290-1ed4fcf05c22","ORNL_053.basePlot.div","D07","ORNL",35.965252,-84.286859,"WGS84",20.16,316.0,0.2,"tower","deciduousForest","ORNL_053","41.4.1","2017-06-26",1,"ORNL.1.2017","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"soil",2.00,,,,"lelmore@battelleecology.org","aferchaud@battelleecology.org",,,
"9c24bd67-9629-48e8-b766-81fd80b07afe","ORNL_046.basePlot.div","D07","ORNL",35.964418,-84.285882,"WGS84",20.12,338.5,0.2,"tower","deciduousForest","ORNL_046","31.4.1","2017-06-26",1,"ORNL.1.2017","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"otherNonVascular",0.50,,,,"mcumberland@battelleecology.org","lelmore@battelleecology.org",,,
"21ea8c3f-7b05-49a8-9e0e-24728f2e1cb7","ORNL_046.basePlot.div","D07","ORNL",35.964418,-84.285882,"WGS84",20.12,338.5,0.2,"tower","deciduousForest","ORNL_046","41.1.1","2017-06-26",1,"ORNL.1.2017","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"lichen",0.50,,,,"aferchaud@battelleecology.org","lelmore@battelleecology.org",,,
"d67a3ed6-18fd-4bf4-979b-d028747d241a","ORNL_046.basePlot.div","D07","ORNL",35.964418,-84.285882,"WGS84",20.12,338.5,0.2,"tower","deciduousForest","ORNL_046","40.3.1","2017-06-26",1,"ORNL.1.2017","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"standingDead",0.50,,,"Herbaceous","mcumberland@battelleecology.org","lelmore@battelleecology.org",,,
"ebe82609-e0d6-4668-93ea-35c95a9adb40","ORNL_046.basePlot.div","D07","ORNL",35.964418,-84.285882,"WGS84",20.12,338.5,0.2,"tower","deciduousForest","ORNL_046","41.4.1","2017-06-26",1,"ORNL.1.2017","NEON.DOC.014042vG","plantSpecies","Y","Y","NYSY","Nyssa sylvatica Marshall","species","Cornaceae","N",,,,,,,0.50,"N",,,"aferchaud@battelleecology.org","lelmore@battelleecology.org",,,
"e2afbf90-d099-4cbc-81f8-d93cc8b22a58","ORNL_046.basePlot.div","D07","ORNL",35.964418,-84.285882,"WGS84",20.12,338.5,0.2,"tower","deciduousForest","ORNL_046","41.4.1","2017-06-26",1,"ORNL.1.2017","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"wood",0.50,,,,"aferchaud@battelleecology.org","lelmore@battelleecology.org",,,
"d62b26aa-9e84-44a9-9dce-fbdfd4245bf7","ORNL_046.basePlot.div","D07","ORNL",35.964418,-84.285882,"WGS84",20.12,338.5,0.2,"tower","deciduousForest","ORNL_046","32.4.1","2017-06-26",1,"ORNL.1.2017","NEON.DOC.014042vG","plantSpecies","Y","Y","AMAR3","Amelanchier arborea (Michx. f.) Fernald","species","Rosaceae","N",,,,,,,2.00,"N",,,"aferchaud@battelleecology.org","lelmore@battelleecology.org",,,
"9888618e-d8f4-42b7-9e0e-141265e2c5db","ORNL_046.basePlot.div","D07","ORNL",35.964418,-84.285882,"WGS84",20.12,338.5,0.2,"tower","deciduousForest","ORNL_046","40.3.1","2017-06-26",1,"ORNL.1.2017","NEON.DOC.014042vG","plantSpecies","Y","Y","COAM","Conopholis americana (L.) Wallr.","species","Orobanchaceae","N",,,,,,,0.50,"N",,,"mcumberland@battelleecology.org","lelmore@battelleecology.org",,,
"941436f7-7078-408e-8da1-64d5110f2b87","ORNL_046.basePlot.div","D07","ORNL",35.964418,-84.285882,"WGS84",20.12,338.5,0.2,"tower","deciduousForest","ORNL_046","41.4.1","2017-06-26",1,"ORNL.1.2017","NEON.DOC.014042vG","plantSpecies","Y","Y","LECU","Lespedeza cuneata (Dum. Cours.) G. Don","species","Fabaceae","I",,,,,,,2.00,"N",,,"aferchaud@battelleecology.org","lelmore@battelleecology.org",,,
"f45835d5-c7bc-4740-bd15-720fb484663a","ORNL_046.basePlot.div","D07","ORNL",35.964418,-84.285882,"WGS84",20.12,338.5,0.2,"tower","deciduousForest","ORNL_046","32.4.1","2017-06-26",1,"ORNL.1.2017","NEON.DOC.014042vG","plantSpecies","Y","Y","SMGL","Smilax glauca Walter","species","Smilacaceae","N",,,,,,,1.00,"N",,,"aferchaud@battelleecology.org","lelmore@battelleecology.org",,,
"7ba21967-4ee1-463c-85f2-e7e255f551b1","ORNL_053.basePlot.div","D07","ORNL",35.965252,-84.286859,"WGS84",20.16,316.0,0.2,"tower","deciduousForest","ORNL_053","31.4.1","2017-06-26",1,"ORNL.1.2017","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"rock",1.00,,,,"mcumberland@battelleecology.org","aferchaud@battelleecology.org",,,
"eb537015-6e8c-4d07-b317-2a968761a2e3","ORNL_053.basePlot.div","D07","ORNL",35.965252,-84.286859,"WGS84",20.16,316.0,0.2,"tower","deciduousForest","ORNL_053","40.3.1","2017-06-26",1,"ORNL.1.2017","NEON.DOC.014042vG","plantSpecies","Y","Y","ARSE3","Aristolochia serpentaria L.","species","Aristolochiaceae","N",,,,,,,0.50,"N",,,"mcumberland@battelleecology.org","aferchaud@battelleecology.org",,,
