uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"fbfe5f72-42b6-4cbf-9cac-0da3bfc78ddc","ONAQ_009.basePlot.div","D15","ONAQ",40.160802,-112.471249,"WGS84",20.24,1671.3,0.3,"distributed","shrubScrub","ONAQ_009","31.4.1","2018-05-01",1,"ONAQ.1.2018","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"otherNonVascular",0.50,,,"Biological soil crust","zsmith@battelleecology.org","tlarrieu@battelleecology.org",,,
"6dd182be-9dee-48c9-981d-f6c994a4c6b8","ONAQ_019.basePlot.div","D15","ONAQ",40.175284,-112.482459,"WGS84",20.12,1731.5,0.1,"distributed","shrubScrub","ONAQ_019","31.4.1","2018-05-01",1,"ONAQ.1.2018","NEON.DOC.014042vG","plantSpecies","Y","Y","POSE","Poa secunda J. Presl","species","Poaceae","N",,,,,,,0.50,"N",,,"Ereilly@battelleecology.org","cpratt@battelleecology.org",,,
"7c48343b-55c6-4461-a312-229cd15d4500","ONAQ_019.basePlot.div","D15","ONAQ",40.175284,-112.482459,"WGS84",20.12,1731.5,0.1,"distributed","shrubScrub","ONAQ_019","40.1.1","2018-05-01",1,"ONAQ.1.2018","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"soil",90.00,,,,"Ereilly@battelleecology.org","cpratt@battelleecology.org",,,
"fa7bbcac-d56f-4c84-9ed3-48b01647f494","ONAQ_019.basePlot.div","D15","ONAQ",40.175284,-112.482459,"WGS84",20.12,1731.5,0.1,"distributed","shrubScrub","ONAQ_019","31.1.1","2018-05-01",1,"ONAQ.1.2018","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"moss",0.50,,,,"Ereilly@battelleecology.org","cpratt@battelleecology.org",,,
"d2349106-8bfd-4996-a05d-48b12c10e15e","ONAQ_019.basePlot.div","D15","ONAQ",40.175284,-112.482459,"WGS84",20.12,1731.5,0.1,"distributed","shrubScrub","ONAQ_019","40.1.1","2018-05-01",1,"ONAQ.1.2018","NEON.DOC.014042vG","plantSpecies","Y","Y","ATCO","Atriplex confertifolia (Torr. & Frém.) S. Watson","species","Chenopodiaceae","N",,,,,,,1.00,"N",,,"Ereilly@battelleecology.org","cpratt@battelleecology.org",,,
"9ba256a8-ad5e-4d73-be7b-b7469c3063a7","ONAQ_019.basePlot.div","D15","ONAQ",40.175284,-112.482459,"WGS84",20.12,1731.5,0.1,"distributed","shrubScrub","ONAQ_019","40.3.1","2018-05-01",1,"ONAQ.1.2018","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"moss",4.00,,,,"Ereilly@battelleecology.org","cpratt@battelleecology.org",,,
"3dc255ef-bff5-4cdc-aeeb-6473d10b1612","ONAQ_019.basePlot.div","D15","ONAQ",40.175284,-112.482459,"WGS84",20.12,1731.5,0.1,"distributed","shrubScrub","ONAQ_019","32.4.1","2018-05-01",1,"ONAQ.1.2018","NEON.DOC.014042vG","plantSpecies","Y","Y","ELEL5","Elymus elymoides (Raf.) Swezey","species","Poaceae","N",,,,,,,0.50,"N",,,"Ereilly@battelleecology.org","cpratt@battelleecology.org",,,
"626d85ba-ff99-4fcc-8066-1b8ad29522a2","ONAQ_019.basePlot.div","D15","ONAQ",40.175284,-112.482459,"WGS84",20.12,1731.5,0.1,"distributed","shrubScrub","ONAQ_019","31.4.1","2018-05-01",1,"ONAQ.1.2018","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"wood",2.00,,,,"Ereilly@battelleecology.org","cpratt@battelleecology.org",,,
"182328fe-b19f-4b46-b13b-fd9cb3184d60","ONAQ_019.basePlot.div","D15","ONAQ",40.175284,-112.482459,"WGS84",20.12,1731.5,0.1,"distributed","shrubScrub","ONAQ_019","41.4.1","2018-05-01",1,"ONAQ.1.2018","NEON.DOC.014042vG","plantSpecies","Y","Y","CHVI8","Chrysothamnus viscidiflorus (Hook.) Nutt.","species","Asteraceae","N",,,,,,,3.00,"N",,,"Ereilly@battelleecology.org","cpratt@battelleecology.org",,,
"b46d8a4b-4c2f-44c1-bc52-45218390495a","ONAQ_019.basePlot.div","D15","ONAQ",40.175284,-112.482459,"WGS84",20.12,1731.5,0.1,"distributed","shrubScrub","ONAQ_019","32.2.1","2018-05-01",1,"ONAQ.1.2018","NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"rock",6.00,,,,"Ereilly@battelleecology.org","cpratt@battelleecology.org",,,
