uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"aaf7e24e-5d68-46e8-9aa2-cb272ca24df9","WREF_070.basePlot.div","D16","WREF",45.824185,-121.955555,"WGS84",20.13,363.5,0.2,"tower","evergreenForest","WREF_070","41.4.1","2022-08-03",1,"WREF.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","2PLANT","Unknown plant","kingdom",,"UNK",,,,,,,0.50,"N",,"Cotyledon","0000-0002-4627-175X","0000-0002-5339-8724","OK",,"OK - no known exceptions"
"ee269508-544c-4277-a1bd-94eb583e4844","WREF_070.basePlot.div","D16","WREF",45.824185,-121.955555,"WGS84",20.13,363.5,0.2,"tower","evergreenForest","WREF_070","40.3.1","2022-08-03",1,"WREF.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"soil",0.50,,,,"0000-0001-6771-7557","0000-0002-0205-7735","OK",,"OK - no known exceptions"
"9bd145d9-d7ef-45d3-9844-6910b0cb6f61","WREF_070.basePlot.div","D16","WREF",45.824185,-121.955555,"WGS84",20.13,363.5,0.2,"tower","evergreenForest","WREF_070","32.4.1","2022-08-03",1,"WREF.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","PTAQ","Pteridium aquilinum (L.) Kuhn","species","Dennstaedtiaceae","N",,,,,,,15.00,"N",,,"0000-0001-9521-413X","0000-0003-2086-5426","OK",,"OK - no known exceptions"
"31f95e19-9726-4923-9fa0-dd463857c783","WREF_070.basePlot.div","D16","WREF",45.824185,-121.955555,"WGS84",20.13,363.5,0.2,"tower","evergreenForest","WREF_070","40.1.1","2022-08-03",1,"WREF.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"wood",9.00,,,,"0000-0001-6771-7557","0000-0002-0205-7735","OK",,"OK - no known exceptions"
"fb3ed2af-6982-405a-81db-e8593fe6d35e","WREF_070.basePlot.div","D16","WREF",45.824185,-121.955555,"WGS84",20.13,363.5,0.2,"tower","evergreenForest","WREF_070","41.4.1","2022-08-03",1,"WREF.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"wood",3.50,,,,"0000-0002-4627-175X","0000-0002-5339-8724","OK",,"OK - no known exceptions"
"6c233e2a-b5e5-4035-a0a9-d9dae9cf0056","WREF_070.basePlot.div","D16","WREF",45.824185,-121.955555,"WGS84",20.13,363.5,0.2,"tower","evergreenForest","WREF_070","40.3.1","2022-08-03",1,"WREF.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","CLUN2","Clintonia uniflora (Menzies ex Schult. & Schult. f.) Kunth","species","Liliaceae","N",,,,,,,4.00,"N",,,"0000-0001-6771-7557","0000-0002-0205-7735","OK",,"OK - no known exceptions"
"0fa7f1f7-b8c0-44c5-917f-999dd6ef7f6b","WREF_070.basePlot.div","D16","WREF",45.824185,-121.955555,"WGS84",20.13,363.5,0.2,"tower","evergreenForest","WREF_070","41.4.1","2022-08-03",1,"WREF.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","ACTR","Achlys triphylla (Sm.) DC.","species","Berberidaceae","N",,,,,,,2.00,"N",,,"0000-0002-4627-175X","0000-0002-5339-8724","OK",,"OK - no known exceptions"
"235ee1e3-133c-41b2-8115-7f596e03d7ab","WREF_070.basePlot.div","D16","WREF",45.824185,-121.955555,"WGS84",20.13,363.5,0.2,"tower","evergreenForest","WREF_070","40.1.1","2022-08-03",1,"WREF.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","CLUN2","Clintonia uniflora (Menzies ex Schult. & Schult. f.) Kunth","species","Liliaceae","N",,,,,,,3.00,"N",,,"0000-0001-6771-7557","0000-0002-0205-7735","OK",,"OK - no known exceptions"
"28db180f-1521-45ee-83e0-19acebb83ee0","WREF_070.basePlot.div","D16","WREF",45.824185,-121.955555,"WGS84",20.13,363.5,0.2,"tower","evergreenForest","WREF_070","41.4.1","2022-08-03",1,"WREF.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"soil",1.50,,,,"0000-0002-4627-175X","0000-0002-5339-8724","OK",,"OK - no known exceptions"
"88ebc31b-9ac7-4d6e-ad5a-fd473272e5d0","WREF_070.basePlot.div","D16","WREF",45.824185,-121.955555,"WGS84",20.13,363.5,0.2,"tower","evergreenForest","WREF_070","31.1.1","2022-08-03",1,"WREF.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"moss",35.00,,,,"0000-0002-4627-175X","0000-0002-5339-8724","OK",,"OK - no known exceptions"
