uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"be95a982-5768-42bc-acb0-348b3bef0a11","SJER_016.basePlot.div","D17","SJER",37.077219,-119.716137,"WGS84",20.10,271.0,0.1,"distributed","grasslandHerbaceous","SJER_016","31.1.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","LUBI","Lupinus bicolor Lindl.","species","Fabaceae","N",,,,,,,1.00,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"28edcdd5-56ba-4243-b8f7-bac6025d2526","SJER_014.basePlot.div","D17","SJER",37.078744,-119.720266,"WGS84",20.13,288.4,0.1,"distributed","grasslandHerbaceous","SJER_014","31.1.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","LUBE","Lupinus benthamii A. Heller","species","Fabaceae","N",,,,,,,8.00,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"02384fd2-8e13-4994-a4ff-824a7d3d9295","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.5,0.1,"distributed","grasslandHerbaceous","SJER_022","31.1.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","CLPA5","Claytonia parviflora Douglas ex Hook.","species","Portulacaceae","N","aff. species",,,,,,0.50,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"71e746ff-d4b6-46dd-ad3b-69764d78cb15","SJER_016.basePlot.div","D17","SJER",37.077219,-119.716137,"WGS84",20.10,271.0,0.1,"distributed","grasslandHerbaceous","SJER_016","40.1.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","otherVariables","Y","Y",,,,,,,,,,,"soil",7.00,,,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"1102bd82-a587-485b-a2e2-ae2dc25fa0bb","SJER_014.basePlot.div","D17","SJER",37.078744,-119.720266,"WGS84",20.13,288.4,0.1,"distributed","grasslandHerbaceous","SJER_014","41.4.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","BRDI3","Bromus diandrus Roth","species","Poaceae","I",,,,,,,8.00,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"8589d946-876d-49a7-8600-58b5537226ef","SJER_016.basePlot.div","D17","SJER",37.077219,-119.716137,"WGS84",20.10,271.0,0.1,"distributed","grasslandHerbaceous","SJER_016","40.1.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","AVBA","Avena barbata Pott ex Link","species","Poaceae","I",,,,,,,2.00,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"5244516e-f483-414d-b9ca-05d49bf8b905","SJER_014.basePlot.div","D17","SJER",37.078744,-119.720266,"WGS84",20.13,288.4,0.1,"distributed","grasslandHerbaceous","SJER_014","41.4.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","otherVariables","Y","Y",,,,,,,,,,,"wood",30.00,,,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"f39bc342-ef07-4a3d-8507-a8410eab2124","SJER_014.basePlot.div","D17","SJER",37.078744,-119.720266,"WGS84",20.13,288.4,0.1,"distributed","grasslandHerbaceous","SJER_014","31.1.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","otherVariables","Y","Y",,,,,,,,,,,"soil",15.00,,,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"04a9fae0-59b3-420d-95aa-e949e6d81895","SJER_016.basePlot.div","D17","SJER",37.077219,-119.716137,"WGS84",20.10,271.0,0.1,"distributed","grasslandHerbaceous","SJER_016","32.2.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","ERBO","Erodium botrys (Cav.) Bertol.","species","Geraniaceae","I",,,,,,,10.00,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"b77fb6d7-fa0b-4667-ae40-80a1b4b58185","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.5,0.1,"distributed","grasslandHerbaceous","SJER_022","40.1.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","ERBO","Erodium botrys (Cav.) Bertol.","species","Geraniaceae","I",,,,,,,10.00,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"4a6707ac-636e-4d2c-a17a-136829b3ea9a","SJER_014.basePlot.div","D17","SJER",37.078744,-119.720266,"WGS84",20.13,288.4,0.1,"distributed","grasslandHerbaceous","SJER_014","32.4.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","PTDR","Pterostegia drymarioides Fisch. & C.A. Mey.","species","Polygonaceae","N",,,,,,,1.00,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"080dcac8-852d-407f-9430-5c798964df80","SJER_014.basePlot.div","D17","SJER",37.078744,-119.720266,"WGS84",20.13,288.4,0.1,"distributed","grasslandHerbaceous","SJER_014","40.3.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","PHCI","Phacelia cicutaria Greene","species","Hydrophyllaceae","N",,,,,,,2.00,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"8cf0e3c7-158b-45ff-8a19-6d6448acd8fe","SJER_016.basePlot.div","D17","SJER",37.077219,-119.716137,"WGS84",20.10,271.0,0.1,"distributed","grasslandHerbaceous","SJER_016","40.1.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","otherVariables","Y","Y",,,,,,,,,,,"standingDeadHerbaceous",40.00,,,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"58982e9e-54d3-4303-ad68-86afe9b88041","SJER_014.basePlot.div","D17","SJER",37.078744,-119.720266,"WGS84",20.13,288.4,0.1,"distributed","grasslandHerbaceous","SJER_014","31.1.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","ERBO","Erodium botrys (Cav.) Bertol.","species","Geraniaceae","I",,,,,,,10.00,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"69962c4d-6d4b-46f6-a61c-39422527faf7","SJER_016.basePlot.div","D17","SJER",37.077219,-119.716137,"WGS84",20.10,271.0,0.1,"distributed","grasslandHerbaceous","SJER_016","31.1.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","LOUNU","Lotus unifoliolatus (Hook.) Benth. var. unifoliolatus","variety","Fabaceae","N",,,,,,,0.50,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"538ee6eb-a46f-44c6-92ba-5b2e98d109d6","SJER_016.basePlot.div","D17","SJER",37.077219,-119.716137,"WGS84",20.10,271.0,0.1,"distributed","grasslandHerbaceous","SJER_016","31.1.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","HYGL2","Hypochaeris glabra L.","species","Asteraceae","I",,,,,,,0.50,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"25a3a337-f0b8-4b2f-a1a1-1c0e6f3d47e4","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.5,0.1,"distributed","grasslandHerbaceous","SJER_022","40.3.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","BROMUSPP","Bromus spp.","genus","Poaceae","UNK",,,,,,,5.00,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"ba4814f1-90d3-425f-bdcb-000ca39d9fa2","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.5,0.1,"distributed","grasslandHerbaceous","SJER_022","40.3.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","OXRA","Oxalis radicosa A. Rich.","species","Oxalidaceae","I",,,,,,,4.00,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"8486f109-c6ea-4ceb-9d09-f9b04fe7399c","SJER_014.basePlot.div","D17","SJER",37.078744,-119.720266,"WGS84",20.13,288.4,0.1,"distributed","grasslandHerbaceous","SJER_014","40.1.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","PTDR","Pterostegia drymarioides Fisch. & C.A. Mey.","species","Polygonaceae","N",,,,,,,0.50,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"1f7947d1-42e9-4439-a3d8-1494ccb57fcd","SJER_014.basePlot.div","D17","SJER",37.078744,-119.720266,"WGS84",20.13,288.4,0.1,"distributed","grasslandHerbaceous","SJER_014","32.4.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","SEVU","Senecio vulgaris L.","species","Asteraceae","I",,,,,,,0.50,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"d289e724-c58d-49c3-a26a-00a635e651c2","SJER_014.basePlot.div","D17","SJER",37.078744,-119.720266,"WGS84",20.13,288.4,0.1,"distributed","grasslandHerbaceous","SJER_014","31.1.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","otherVariables","Y","Y",,,,,,,,,,,"litter",8.00,,,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"caf06d9e-ceba-41d4-acfc-8b96928a8b28","SJER_016.basePlot.div","D17","SJER",37.077219,-119.716137,"WGS84",20.10,271.0,0.1,"distributed","grasslandHerbaceous","SJER_016","32.2.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","LOUNU","Lotus unifoliolatus (Hook.) Benth. var. unifoliolatus","variety","Fabaceae","N",,,,,,,0.50,"N",,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"a3d4c5aa-b630-4a12-96cd-ca40dae85c0c","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.5,0.1,"distributed","grasslandHerbaceous","SJER_022","40.3.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","otherVariables","Y","Y",,,,,,,,,,,"rock",5.00,,,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"064c667c-80a7-4723-bd1e-5ee87f2b58d2","SJER_014.basePlot.div","D17","SJER",37.078744,-119.720266,"WGS84",20.13,288.4,0.1,"distributed","grasslandHerbaceous","SJER_014","31.1.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","BRASSI","Brassicaceae sp.","family","Brassicaceae","UNK",,,,,,,0.50,"N",,"Maybe caulanthus sp.","0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"1e0d910e-54ba-4a7b-aa45-87f2e869c965","SJER_014.basePlot.div","D17","SJER",37.078744,-119.720266,"WGS84",20.13,288.4,0.1,"distributed","grasslandHerbaceous","SJER_014","41.4.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","otherVariables","Y","Y",,,,,,,,,,,"rock",10.00,,,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
"f92b7250-5d0c-439f-b6b9-35ab2e6e6a3f","SJER_014.basePlot.div","D17","SJER",37.078744,-119.720266,"WGS84",20.13,288.4,0.1,"distributed","grasslandHerbaceous","SJER_014","41.4.1","2020-03-04",1,"SJER.1.2020","NEON.DOC.014042vK","otherVariables","Y","Y",,,,,,,,,,,"litter",3.00,,,,"0000-0001-7253-0439","0000-0002-4777-3874","OK",,"OK - no known exceptions"
