uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"0652aa64-4551-4610-9ad4-d7652388d951","TOOL_042.basePlot.div","D18","TOOL",68.664072,-149.381292,"WGS84",20.22,805.4,0.2,"tower","sedgeHerbaceous","TOOL_042","32.2.1","2019-07-08",1,"TOOL.1.2019","NEON.DOC.014042vJ","otherVariables","Y","Y",,,,,,,,,,,"litter",2.00,,,,"0000-0002-0036-730X","0000-0002-8505-0810",,,
"d3389c72-a2b3-46c2-913e-3de24e2cdcb7","TOOL_042.basePlot.div","D18","TOOL",68.664072,-149.381292,"WGS84",20.22,805.4,0.2,"tower","sedgeHerbaceous","TOOL_042","32.4.1","2019-07-08",1,"TOOL.1.2019","NEON.DOC.014042vJ","otherVariables","Y","Y",,,,,,,,,,,"moss",65.00,,,,"0000-0002-0036-730X","0000-0002-8505-0810",,,
"4f23c766-6779-4a25-8d54-10d3520aacd9","TOOL_043.basePlot.div","D18","TOOL",68.665514,-149.375519,"WGS84",20.25,821.6,0.2,"tower","sedgeHerbaceous","TOOL_043","32.2.1","2019-07-08",1,"TOOL.1.2019","NEON.DOC.014042vJ","plantSpecies","Y","Y","VAVI","Vaccinium vitis-idaea L.","species","Ericaceae","N",,,,,,,7.00,"N",,,"0000-0003-1678-1246","0000-0003-0373-3632",,,
"0d914632-e8f6-4af1-8cea-600ab801ac44","TOOL_042.basePlot.div","D18","TOOL",68.664072,-149.381292,"WGS84",20.22,805.4,0.2,"tower","sedgeHerbaceous","TOOL_042","41.4.1","2019-07-08",1,"TOOL.1.2019","NEON.DOC.014042vJ","plantSpecies","Y","Y","PECA2","Pedicularis capitata M.F. Adams","species","Scrophulariaceae","N","cf. species",,,,,,0.50,"N",,,"0000-0002-0036-730X","0000-0002-8505-0810",,,
"a1484486-38f3-46d9-822f-c543fbf1cdb9","TOOL_043.basePlot.div","D18","TOOL",68.665514,-149.375519,"WGS84",20.25,821.6,0.2,"tower","sedgeHerbaceous","TOOL_043","31.1.1","2019-07-08",1,"TOOL.1.2019","NEON.DOC.014042vJ","otherVariables","Y","Y",,,,,,,,,,,"moss",65.00,,,,"0000-0003-1678-1246","0000-0003-0373-3632",,,
"a0c12acc-f343-4a82-8c22-ff705c3b88f7","TOOL_042.basePlot.div","D18","TOOL",68.664072,-149.381292,"WGS84",20.22,805.4,0.2,"tower","sedgeHerbaceous","TOOL_042","40.3.1","2019-07-08",1,"TOOL.1.2019","NEON.DOC.014042vJ","otherVariables","Y","Y",,,,,,,,,,,"lichen",0.50,,,,"0000-0002-8265-3907","0000-0002-3857-4195",,,
"f14e4c9a-bdda-493e-99f8-8a50cde8ed2b","TOOL_043.basePlot.div","D18","TOOL",68.665514,-149.375519,"WGS84",20.25,821.6,0.2,"tower","sedgeHerbaceous","TOOL_043","40.1.1","2019-07-08",1,"TOOL.1.2019","NEON.DOC.014042vJ","plantSpecies","Y","Y","SAPU15","Salix pulchra Cham.","species","Salicaceae","N",,,,,,,0.50,"N",,,"0000-0003-1678-1246","0000-0002-5597-3817",,,
"0682475e-ee5e-4f01-ac8d-b4869567147d","TOOL_043.basePlot.div","D18","TOOL",68.665514,-149.375519,"WGS84",20.25,821.6,0.2,"tower","sedgeHerbaceous","TOOL_043","40.3.1","2019-07-08",1,"TOOL.1.2019","NEON.DOC.014042vJ","otherVariables","Y","Y",,,,,,,,,,,"lichen",1.00,,,,"0000-0003-1678-1246","0000-0002-5597-3817",,,
"3993e19b-9de2-495e-9f16-6dd1ad9f90e0","TOOL_042.basePlot.div","D18","TOOL",68.664072,-149.381292,"WGS84",20.22,805.4,0.2,"tower","sedgeHerbaceous","TOOL_042","31.1.1","2019-07-08",1,"TOOL.1.2019","NEON.DOC.014042vJ","plantSpecies","Y","Y","LEPA11","Ledum palustre L.","species","Ericaceae","N",,,,,,,7.00,"N",,,"0000-0002-0036-730X","0000-0002-3857-4195",,,
"e9adc099-fd28-438d-aee2-4449f0fd7b52","TOOL_042.basePlot.div","D18","TOOL",68.664072,-149.381292,"WGS84",20.22,805.4,0.2,"tower","sedgeHerbaceous","TOOL_042","32.4.1","2019-07-08",1,"TOOL.1.2019","NEON.DOC.014042vJ","plantSpecies","Y","Y","CATE11","Cassiope tetragona (L.) D. Don","species","Ericaceae","N",,,,,,,0.50,"N",,,"0000-0002-0036-730X","0000-0002-8505-0810",,,
