uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"ed69a492-673f-4370-b483-32ada9f133bc","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.4.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"moss",2.00,,,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"2538600d-743a-4dab-a100-7657f49b454d","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.2.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"litter",64.00,,,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"cb5eee71-e46b-42ac-b328-b8bd0c7e1036","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.2.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"standingDeadHerbaceous",1.00,,,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"952dafe2-54f6-4325-bccd-c48d1c7c3aa8","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.4.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"lichen",0.50,,,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"0a4e39aa-976e-4bc7-8666-12840b64324f","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.2.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"lichen",1.00,,,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"f2a90e55-c1bf-47a4-9d45-3a25e501e0fa","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.2.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"moss",26.00,,,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"4be78b7b-7304-4720-96a5-94967802390f","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.2.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"standingDeadWoody",1.00,,,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"67d09153-fe19-41a9-b81e-7f300c4c8c3d","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.4.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","plantSpecies","Y","Y","POTR5","Populus tremuloides Michx.","species","Salicaceae","N",,,,,,,0.50,"N",,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"d15085f5-47c5-4238-8635-7dc029f3db02","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.2.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","plantSpecies","Y","Y","POTR5","Populus tremuloides Michx.","species","Salicaceae","N",,,,,,,7.00,"N",,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"3886e223-6fae-424c-8102-f1bf5e559b6e","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.4.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"standingDeadHerbaceous",4.00,,,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"67d8ab54-7c0d-44b4-bd90-497342cfc2e6","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.4.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","plantSpecies","Y","Y","CALAM","Calamagrostis sp.","genus","Poaceae","N",,,,,,,6.00,"N",,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"6c8ec633-9086-4aab-b12c-d76077584e93","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.4.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"litter",81.00,,,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"31e47f1f-51bb-4184-a716-159b89adef6a","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.4.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","plantSpecies","Y","Y","CALA6","Calamagrostis lapponica (Wahlenb.) Hartm.","species","Poaceae","N",,,,,,,1.00,"N",,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"152dbd8e-a71e-4ec1-b73d-df0d25535469","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.4.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"wood",18.00,,,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"8fc121c9-4568-43ad-8f1e-518c39462362","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.4.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","plantSpecies","Y","Y","LYDE","Lycopodium dendroideum Michx.","species","Lycopodiaceae","N",,,,,,,3.00,"N",,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"39262ec2-b45b-4740-a7c2-916b774888f4","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.4.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","plantSpecies","Y","Y","GELI2","Geocaulon lividum (Richardson) Fernald","species","Santalaceae","N",,,,,,,0.50,"N",,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"00fcf6ca-9f3f-451b-8b10-f8257eb6402f","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.2.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"wood",6.00,,,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"a5c8a5d8-cefa-4045-9658-8b1144757566","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.2.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","plantSpecies","Y","Y","LYCO3","Lycopodium complanatum L.","species","Lycopodiaceae","N",,,,,,,5.00,"N",,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
"9d3435c9-9d73-4d90-a14f-65925da0bb89","BONA_008.basePlot.div","D19","BONA",65.156637,-147.569318,"WGS84",20.16,426.8,0.2,"distributed","deciduousForest","BONA_008","32.2.1","2016-07-21",1,"BONA.1.2016","NEON.DOC.014042vL","plantSpecies","Y","Y","CALA6","Calamagrostis lapponica (Wahlenb.) Hartm.","species","Poaceae","N",,,,,,,1.00,"N",,,"0000-0002-2868-1835","0000-0003-2426-525X","OK",,"OK - no known exceptions"
